study	n1	t_thr	avgAge	Age2	Age3	genhaoAge	experiment_design	performance	Adult_minus_ChildOlder	Child_minus_AdultOlder	Older_minus_AdultChild	Adult_Child	Adult_Older	Child_Older	filter_AdultChild	filter_AdultOlder	filter_ChildOlder	filter_Child	filter_Adult	filter_Old	filter_unp_Chinese	filter_performance	filter_ChildOlder_performance	filter_AdultOlder_performance	filter_AdultChild_performance	performance2	SRC_old	up_Chinese	SRC	SRC_imp_median	SRCcode	SRCcode_z
Kerns2005_adults	13	3.0545	35.6	1267.36	45118.016	5.966573556	0	0.024287986	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.024287986	90.4	1	90.4	90.4	0	-0.288759745
Kerns2006_adults	26	2.7874	24.2	585.64	14172.488	4.91934955	0	0.173146907	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.173146907	16.8	1	16.8	16.8	0	-0.288759745
Kim2012_adults	16	4.56	23.6	556.96	13144.256	4.857983121	1	-0.13540856	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	-0.13540856	-87	1	-87	-87	0	-0.288759745
Kim2014_adults	18	7.5603	25.3	640.09	16194.277	5.029910536	1	0.264626463	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.264626463	205.8	1	205.8	205.8	0	-0.288759745
Kim-Spoon2021_children	151	1.6551	16	256	4096	4	0	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	NA	77.08	1	3.43624096
King2012_adults	25	2.7969	23.8	566.44	13481.272	4.878524367	1	0.149622512	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.149622512	109	1	109	109	0	-0.288759745
Konrad2005_children	16	2.6025	10.1	102.01	1030.301	3.178049716	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	80	80	0	-0.288759745
Korsch2014_adults	20	3.5794	22.95	526.7025	12087.82238	4.790615827	0	0.062342039	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.062342039	37	1	37	37	0	-0.288759745
Korsch2014_olders	19	3.6105	70.26	4936.4676	346836.2136	8.382123836	1	0.058972199	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.058972199	35	1	35	35	0	-0.288759745
Kozasa2012_adults	19	1.9734	43.8	1918.44	84027.672	6.618156843	0	0.114663323	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.114663323	87.8	1	87.8	87.8	0	-0.288759745
Krebs2015_adults	14	3.852	22.5	506.25	11390.625	4.74341649	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	20.8	20.8	0	-0.288759745
Laeng2011_olders	10	1.8331	53.8	2894.44	155720.872	7.334848328	0	9999	1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	61.8	61.8	0	-0.288759745
Li2015_adults	24	3.485	23	529	12167	4.795831523	0	0.181536074	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.181536074	117	1	117	117	0	-0.288759745
Liu2016_children	72	1.6666	13.9	193.21	2685.619	3.728270376	1	0.343921139	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.343921139	314	1	314	314	0	-0.288759745
Lutcke2009_adults	12	4.0247	28	784	21952	5.291502622	1	0.094017094	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.094017094	66	1	66	66	0	-0.288759745
Margolis2017_children	55	1.6736	16.1	259.21	4173.281	4.01248053	1	0.062208398	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.062208398	40	1	40	40	0	-0.288759745
Mathis2009_adults	12	4.0247	26.8	718.24	19248.832	5.176871642	0	0.054744526	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.054744526	60	1	60	60	0	-0.288759745
Mathis2009_middleolders	12	4.0247	51.7	2672.89	138188.413	7.190271205	0	0.051783894	1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.051783894	63.5	1	63.5	63.5	0	-0.288759745
Mathis2009_olders	12	4.0247	62.8	3943.84	247673.152	7.924645102	0	0.065454545	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.065454545	81	1	81	81	0	-0.288759745
Matthews2004_adults	18	1.7396	39	1521	59319	6.244997998	0	0.184514003	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.184514003	112	1	112	112	0	-0.288759745
McNab2008_adults	14	3.852	24	576	13824	4.898979486	1	0.069124424	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.069124424	30	1	30	30	0	-0.288759745
Mead2002_adults	18	1.7396	26.7	712.89	19034.163	5.167204273	0	0.07436919	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.07436919	56	1	56	56	0	-0.288759745
Milham2002_adults	12	1.7959	23	529	12167	4.795831523	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	139	1	147	147	0	-0.288759745
Milham2002_olders	10	1.8331	68	4624	314432	8.246211251	0	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	207	1	220	220	0	-0.288759745
Mincic2010_children	35	1.6909	16.5	272.25	4492.125	4.062019202	1	0.089459354	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.089459354	57.5	1	57.5	57.5	0	-0.288759745
Mitchell2005_adults	15	3.7874	23.3	542.89	12649.337	4.827007354	0	0.085642317	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.085642317	68	1	68	68	0	-0.288759745
Mitchell2010_adults	28	3.421	20.2	408.04	8242.408	4.494441011	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	82.5	82.5	0	-0.288759745
moubochuan2018_adults	37	1.6883	21.4	457.96	9800.344	4.626013402	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	NA	32	-1	32.5	32.5	0	-0.288759745
Nagamatsu2011_olders	73	1.6663	73	5329	389017	8.544003745	1	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	NA	83.1	1	3.43624096
Nakao2005_adults	14	3.852	30.2	912.04	27543.608	5.495452666	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	116	116	0	-0.288759745
Ochsner2009_adults	16	3.7328	21.22	450.2884	9555.119848	4.606517123	1	0.036557579	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.036557579	25.43	1	25.43	25.43	0	-0.288759745
Onur2011_olders	13	3.9296	69.6	4844.16	337153.536	8.342661446	1	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	48.2	48.2	0	-0.288759745
Page2009_adults	11	1.8125	34.1	1162.81	39651.821	5.839520528	1	0.186071733	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.186071733	120.1	1	120.1	120.1	0	-0.288759745
Piai2013_adults	23	3.505	21.2	449.44	9528.128	4.604345773	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	75.5	1	25	25	0	-0.288759745
Polosan2011_adults	14	3.95	35.9	1288.81	46268.279	5.991660872	0	0.153250638	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.153250638	113.23	1	113.23	113.23	0	-0.288759745
Pompei2011_adults	48	2.6846	36.33	1319.8689	47950.83714	6.027437266	0	0.393700787	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.393700787	250	1	250	250	0	-0.288759745
Posner2011_children	15	4.985	13.4	179.56	2406.104	3.660601044	0	0.106153469	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.106153469	86.6	1	86.6	86.6	0	-0.288759745
Prakash2009_olders	25	1.7109	65.5	4290.25	281011.375	8.093207028	1	0.102669783	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.102669783	89.18	1	89.18	89.18	0	-0.288759745
Puente2014_olders	26	1.7081	74	5476	405224	8.602325267	1	0.248807796	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.248807796	240	1	240	240	0	-0.288759745
Puetz2016_children	19	1.7341	12.91	166.6681	2151.685171	3.593048845	0	0.12300123	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.12300123	100	1	100	100	0	-0.288759745
qianqiaoyun2020_adults	17	1.7459	25	625	15625	5	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	NA	NA	-1	95.785	95.785	0	-0.288759745
Rahm2014_adults	11	2.7638	34.9	1218.01	42508.549	5.907622195	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	NA	66	1	3.43624096
Ravnkilde2002_adults	46	5.63	41	1681	68921	6.403124237	1	0.536773483	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.536773483	292.3	1	292.3	292.3	0	-0.288759745
Rizio2017_olders	20	1.7291	67	4489	300763	8.185352772	1	0.058245986	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.058245986	80.77	1	80.77	80.77	0	-0.288759745
Roberts2008_adults	16	3.09	24.3	590.49	14348.907	4.929503018	0	0.089595376	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.089595376	62	1	62	62	0	-0.288759745
Robertson2015_adults	16	2.73	23	529	12167	4.795831523	1	0.115560787	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.115560787	52.035	1	52.035	52.035	0	-0.288759745
Roelofs2006_adults	12	4.0247	23	529	12167	4.795831523	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	44.05	44.05	0	-0.288759745
Rubia2006_adults	23	3.1188	28	784	21952	5.291502622	1	0.211618257	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.211618257	102	1	127	127	0	-0.288759745
Rubia2006_children	28	3.0565	15	225	3375	3.872983346	0	0.245410628	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.245410628	127	1	102	102	0	-0.288759745
Schmidt2012_adults	31	3.3852	24.125	582.015625	14041.12695	4.911720676	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	147.825	1	148.25	148.25	0	-0.288759745
Schulte2020_children	178	3.1369	16	256	4096	4	0	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	10.35	10.35	0	-0.288759745
Schulze2013_adults	8	3.4995	24.8	615.04	15252.992	4.979959839	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	NA	66	1	3.43624096
Sebastian2012_adults	24	4.61	30.3	918.09	27818.127	5.504543578	0	0.074920635	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.074920635	NA	1	60.18	60.18	0	-0.288759745
Sebastian2013a_adults	21	3.5518	24.24	587.5776	14242.88102	4.92341345	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	58.19	58.19	0	-0.288759745
Sebastian2013b_adults	49	3.2689	39.96	1596.8016	63808.19194	6.321392252	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	55.62	55.62	0	-0.288759745
Sebastian2021_children	58	3.2395	14	196	2744	3.741657387	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	59	1	59	59	0	-0.288759745
Sheridan2014_children	33	1.6939	8.1	65.61	531.441	2.846049894	0	0.068535826	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.068535826	44	1	44	44	0	-0.288759745
Sheu2012_adults	138	5.17	40	1600	64000	6.32455532	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	NA	66	1	3.43624096
Soeda2005_adults	11	4.9964	28.1	789.61	22188.041	5.300943312	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	NA	66	1	3.43624096
Sommer2008_adults	12	4.0247	29.1	846.81	24642.171	5.394441584	0	0.19164728	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.19164728	86.5	1	86.5	86.5	0	-0.288759745
Tamm2002_children	14	1.7709	15.43	238.0849	3673.650007	3.928103868	1	0.089708706	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.089708706	76.16	1	76.16	76.16	0	-0.288759745
Terry2012_adults	20	3.054169	20.4	416.16	8489.664	4.516635916	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	76.81	76.81	0	-0.288759745
Ullsperger2001_adults	12	4.0247	24.9	620.01	15438.249	4.98998998	1	0.156209987	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.156209987	61	1	61	61	0	-0.288759745
Vaidya2005_children	10	4.2968	9.2	84.64	778.688	3.033150178	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	43.3	1	43.3	43.3	0	-0.288759745
vantEnt2009_children	18	1.7396	12	144	1728	3.464101615	1	0.098209312	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.098209312	61.7	1	61.7	61.7	0	-0.288759745
Verstynen2014_adults	30	3.61	31	961	29791	5.567764363	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	61.4	61.4	0	-0.288759745
Wang2009_children_g1	15	1.7613	15	225	3375	3.872983346	1	0.045326211	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.045326211	29.7	1	29.7	29.7	0	-0.288759745
Wang2009_children_g2	18	1.7396	14.8	219.04	3241.792	3.847076812	1	0.048651999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.048651999	31.4	1	31.4	31.4	0	-0.288759745
Wittfoth2006_adults	20	4.6619	25.5	650.25	16581.375	5.049752469	1	0.097847358	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.097847358	50	1	50	50	0	-0.288759745
Wittfoth2008_adults	15	3.9779	25.5	650.25	16581.375	5.049752469	1	0.109803922	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.109803922	56	1	56	56	0	-0.288759745
Won2019_olders	32	1.6955	66.2	4382.44	290117.528	8.136338243	1	0.135820182	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.135820182	85.2	1	85.2	85.2	0	-0.288759745
Ye2009_adults	19	3.6105	21	441	9261	4.582575695	1	0.12345679	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.12345679	85	1	85	85	0	-0.288759745
Zhu2010_adults	22	2.8314	20	400	8000	4.472135955	1	0.175675676	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.175675676	130	1	130	130	0	-0.288759745
Zhu2010_olders	22	2.1656	74	5476	405224	8.602325267	1	0.230941704	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.230941704	206	1	206	206	0	-0.288759745
Zoccatelli2010_adults	10	6.2	28	784	21952	5.291502622	0	0.169335064	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.169335064	117.4	1	117.4	117.4	0	-0.288759745
Zurawska2011_adults	18	3.6458	25.3	640.09	16194.277	5.029910536	1	0.077386071	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.077386071	45	1	45	45	0	-0.288759745
Zysset2007_adults	47	3.2771	42	1764	74088	6.480740698	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	90.3	90.3	0	-0.288759745
