map	estimate	variance	sdm_z
Mincic2010_children_I00032	0.188391	0.029122	NA
Mincic2010_children_I00033	0.192714	0.029147	NA
Mincic2010_children_I00034	0.193530	0.029152	NA
Mincic2010_children_I00035	-0.069751	0.028647	NA
Mincic2010_children_I00036	0.181240	0.029081	NA
Mincic2010_children_I00037	0.203215	0.029212	NA
Mincic2010_children_I00038	0.175711	0.029050	NA
Mincic2010_children_I00039	-0.065535	0.028638	NA
Mincic2010_children_I00040	-0.083499	0.028680	NA
Mincic2010_children_I00041	0.196806	0.029172	NA
Mincic2010_children_I00042	0.174735	0.029045	NA
Mincic2010_children_I00043	-0.071056	0.028650	NA
Mincic2010_children_I00044	-0.084949	0.028683	NA
Mincic2010_children_I00045	0.191236	0.029138	NA
Mincic2010_children_I00046	0.179458	0.029071	NA
Mincic2010_children_I00047	0.205590	0.029227	NA
Mincic2010_children_I00048	0.195874	0.029166	NA
Mincic2010_children_I00049	-0.065969	0.028639	NA
Posner2011_children_I00000	0.428107	0.074138	NA
Posner2011_children_I00001	-0.149559	0.067579	NA
Posner2011_children_I00002	-0.242357	0.069061	NA
Posner2011_children_I00003	0.545281	0.078787	NA
Posner2011_children_I00004	0.451079	0.074961	NA
Posner2011_children_I00005	0.402293	0.073264	NA
Posner2011_children_I00006	-0.075111	0.066897	NA
Posner2011_children_I00007	-0.053501	0.066783	NA
Posner2011_children_I00008	0.357533	0.071878	NA
Posner2011_children_I00009	0.372181	0.072313	NA
Posner2011_children_I00010	-0.154698	0.067642	NA
Posner2011_children_I00011	0.386417	0.072754	NA
Posner2011_children_I00012	0.480500	0.076079	NA
Posner2011_children_I00013	0.390206	0.072874	NA
Posner2011_children_I00014	0.355184	0.071809	NA
Posner2011_children_I00015	0.403248	0.073295	NA
Posner2011_children_I00016	0.385509	0.072725	NA
Posner2011_children_I00017	0.496748	0.076726	NA
Posner2011_children_I00018	0.393441	0.072977	NA
Posner2011_children_I00019	0.461262	0.075340	NA
Posner2011_children_I00020	0.491319	0.076507	NA
Posner2011_children_I00021	0.462062	0.075370	NA
Posner2011_children_I00022	-0.058330	0.066805	NA
Posner2011_children_I00023	-0.063275	0.066830	NA
Posner2011_children_I00024	0.392598	0.072950	NA
Posner2011_children_I00025	0.508381	0.077202	NA
Posner2011_children_I00026	0.313275	0.070667	NA
Posner2011_children_I00027	-0.053994	0.066786	NA
Posner2011_children_I00028	0.305700	0.070476	NA
Posner2011_children_I00029	0.391315	0.072909	NA
Posner2011_children_I00030	0.455481	0.075124	NA
Posner2011_children_I00031	-0.061648	0.066822	NA
Posner2011_children_I00032	0.335532	0.071256	NA
Posner2011_children_I00033	-0.048672	0.066763	NA
Posner2011_children_I00034	-0.075004	0.066896	NA
Posner2011_children_I00035	-0.155691	0.067655	NA
Posner2011_children_I00036	-0.070377	0.066869	NA
Posner2011_children_I00037	-0.099458	0.067070	NA
Posner2011_children_I00038	0.478176	0.075988	NA
Posner2011_children_I00039	-0.131873	0.067376	NA
Posner2011_children_I00040	0.456426	0.075159	NA
Posner2011_children_I00041	-0.053134	0.066782	NA
Posner2011_children_I00042	0.379239	0.072530	NA
Posner2011_children_I00043	0.465236	0.075490	NA
Posner2011_children_I00044	-0.151097	0.067597	NA
Posner2011_children_I00045	0.341076	0.071409	NA
Posner2011_children_I00046	-0.080276	0.066929	NA
Posner2011_children_I00047	-0.087595	0.066979	NA
Posner2011_children_I00048	-0.014691	0.066675	NA
Posner2011_children_I00049	0.392196	0.072937	NA
Rubia2006_children_I00000	0.322819	0.037777	NA
Rubia2006_children_I00001	-0.087907	0.035867	NA
Rubia2006_children_I00002	0.307828	0.037590	NA
Rubia2006_children_I00003	0.313666	0.037662	NA
Rubia2006_children_I00004	-0.066028	0.035801	NA
Rubia2006_children_I00005	0.341665	0.038025	NA
Rubia2006_children_I00006	-0.102247	0.035921	NA
Rubia2006_children_I00007	-0.105572	0.035935	NA
Rubia2006_children_I00008	0.326771	0.037828	NA
Rubia2006_children_I00009	-0.098069	0.035905	NA
Rubia2006_children_I00010	0.303712	0.037540	NA
Rubia2006_children_I00011	0.317175	0.037706	NA
Rubia2006_children_I00012	-0.087471	0.035866	NA
Rubia2006_children_I00013	0.330037	0.037871	NA
Rubia2006_children_I00014	0.338763	0.037986	NA
Rubia2006_children_I00015	0.362730	0.038319	NA
Rubia2006_children_I00016	0.318704	0.037725	NA
Rubia2006_children_I00017	-0.065878	0.035800	NA
Rubia2006_children_I00018	-0.044134	0.035753	NA
Rubia2006_children_I00019	-0.090361	0.035876	NA
Rubia2006_children_I00020	-0.094444	0.035891	NA
Rubia2006_children_I00021	0.344584	0.038065	NA
Rubia2006_children_I00022	0.305075	0.037557	NA
Rubia2006_children_I00023	0.286342	0.037337	NA
Rubia2006_children_I00024	0.275103	0.037212	NA
Rubia2006_children_I00025	-0.058629	0.035782	NA
Rubia2006_children_I00026	0.321999	0.037767	NA
Rubia2006_children_I00027	0.320642	0.037750	NA
Rubia2006_children_I00028	-0.045511	0.035755	NA
Rubia2006_children_I00029	-0.074727	0.035825	NA
Rubia2006_children_I00030	0.276228	0.037225	NA
Rubia2006_children_I00031	0.338946	0.037989	NA
Rubia2006_children_I00032	-0.054421	0.035773	NA
Rubia2006_children_I00033	-0.066892	0.035803	NA
Rubia2006_children_I00034	0.329673	0.037866	NA
Rubia2006_children_I00035	-0.097968	0.035904	NA
Rubia2006_children_I00036	0.336441	0.037955	NA
Rubia2006_children_I00037	-0.084637	0.035856	NA
Rubia2006_children_I00038	0.292142	0.037404	NA
Rubia2006_children_I00039	0.315373	0.037683	NA
Rubia2006_children_I00040	0.282453	0.037294	NA
Rubia2006_children_I00041	0.295007	0.037437	NA
Rubia2006_children_I00042	0.276703	0.037230	NA
Rubia2006_children_I00043	-0.089442	0.035873	NA
Rubia2006_children_I00044	0.349712	0.038135	NA
Rubia2006_children_I00045	0.308767	0.037602	NA
Rubia2006_children_I00046	0.265346	0.037108	NA
Rubia2006_children_I00047	0.310799	0.037626	NA
Rubia2006_children_I00048	-0.075727	0.035828	NA
Rubia2006_children_I00049	-0.094184	0.035890	NA
Sheridan2014_children_I00000	-0.083041	0.030417	NA
Sheridan2014_children_I00001	-0.059777	0.030362	NA
Sheridan2014_children_I00002	-0.072090	0.030389	NA
Sheridan2014_children_I00003	0.192310	0.030914	NA
Sheridan2014_children_I00004	0.191810	0.030911	NA
Sheridan2014_children_I00005	-0.099871	0.030468	NA
Sheridan2014_children_I00006	0.178540	0.030830	NA
Sheridan2014_children_I00007	-0.074391	0.030394	NA
Sheridan2014_children_I00008	0.194188	0.030926	NA
Sheridan2014_children_I00009	-0.074626	0.030395	NA
Sheridan2014_children_I00010	-0.070807	0.030386	NA
Sheridan2014_children_I00011	-0.071003	0.030386	NA
Sheridan2014_children_I00012	0.181955	0.030850	NA
Sheridan2014_children_I00013	-0.076706	0.030400	NA
Sheridan2014_children_I00014	0.180110	0.030839	NA
Sheridan2014_children_I00015	0.185552	0.030872	NA
Sheridan2014_children_I00016	-0.075611	0.030397	NA
Sheridan2014_children_I00017	0.196142	0.030939	NA
Sheridan2014_children_I00018	0.190579	0.030903	NA
Sheridan2014_children_I00019	0.196342	0.030940	NA
Sheridan2014_children_I00020	-0.075416	0.030397	NA
Sheridan2014_children_I00021	0.202674	0.030982	NA
Sheridan2014_children_I00022	0.190914	0.030905	NA
Sheridan2014_children_I00023	-0.079353	0.030407	NA
Sheridan2014_children_I00024	0.174649	0.030807	NA
Sheridan2014_children_I00025	0.189352	0.030895	NA
Sheridan2014_children_I00026	0.177257	0.030822	NA
Sheridan2014_children_I00027	0.183075	0.030857	NA
Sheridan2014_children_I00028	-0.076130	0.030399	NA
Sheridan2014_children_I00029	0.188945	0.030893	NA
Sheridan2014_children_I00030	-0.072583	0.030390	NA
Sheridan2014_children_I00031	0.183019	0.030857	NA
Sheridan2014_children_I00032	0.180036	0.030839	NA
Sheridan2014_children_I00033	0.188804	0.030892	NA
Sheridan2014_children_I00034	0.200441	0.030967	NA
Sheridan2014_children_I00035	-0.079243	0.030407	NA
Sheridan2014_children_I00036	0.198914	0.030957	NA
Sheridan2014_children_I00037	-0.072921	0.030391	NA
Sheridan2014_children_I00038	-0.083867	0.030419	NA
Sheridan2014_children_I00039	0.187684	0.030885	NA
Sheridan2014_children_I00040	0.205938	0.031004	NA
Sheridan2014_children_I00041	0.184348	0.030865	NA
Sheridan2014_children_I00042	-0.094977	0.030452	NA
Sheridan2014_children_I00043	0.186158	0.030876	NA
Sheridan2014_children_I00044	-0.070287	0.030385	NA
Sheridan2014_children_I00045	0.190073	0.030900	NA
Sheridan2014_children_I00046	-0.059998	0.030363	NA
Sheridan2014_children_I00047	-0.078159	0.030404	NA
Sheridan2014_children_I00048	-0.094630	0.030451	NA
Sheridan2014_children_I00049	-0.092792	0.030445	NA
Tamm2002_children_I00000	0.332631	0.076339	NA
Tamm2002_children_I00001	-0.059702	0.071587	NA
Tamm2002_children_I00002	-0.055098	0.071563	NA
Tamm2002_children_I00003	0.346717	0.076763	NA
Tamm2002_children_I00004	0.336050	0.076440	NA
Tamm2002_children_I00005	-0.083276	0.071736	NA
Tamm2002_children_I00006	0.352788	0.076952	NA
Tamm2002_children_I00007	0.317632	0.075906	NA
Tamm2002_children_I00008	-0.089403	0.071783	NA
Tamm2002_children_I00009	0.326245	0.076152	NA
Tamm2002_children_I00010	0.333301	0.076358	NA
Tamm2002_children_I00011	0.326618	0.076163	NA
Tamm2002_children_I00012	0.333118	0.076353	NA
Tamm2002_children_I00013	0.335552	0.076425	NA
Tamm2002_children_I00014	0.344065	0.076682	NA
Tamm2002_children_I00015	0.336595	0.076456	NA
Tamm2002_children_I00016	-0.092491	0.071808	NA
Tamm2002_children_I00017	0.334835	0.076404	NA
Tamm2002_children_I00018	0.339619	0.076547	NA
Tamm2002_children_I00019	-0.051637	0.071547	NA
Tamm2002_children_I00020	-0.063751	0.071609	NA
Tamm2002_children_I00021	0.328295	0.076211	NA
Tamm2002_children_I00022	0.328958	0.076231	NA
Tamm2002_children_I00023	0.332809	0.076344	NA
Tamm2002_children_I00024	0.325126	0.076120	NA
Tamm2002_children_I00025	0.329277	0.076240	NA
Tamm2002_children_I00026	0.331617	0.076309	NA
Tamm2002_children_I00027	0.311577	0.075737	NA
Tamm2002_children_I00028	0.311230	0.075727	NA
Tamm2002_children_I00029	-0.069960	0.071646	NA
Tamm2002_children_I00030	-0.060278	0.071590	NA
Tamm2002_children_I00031	0.328429	0.076215	NA
Tamm2002_children_I00032	-0.052718	0.071552	NA
Tamm2002_children_I00033	0.326163	0.076150	NA
Tamm2002_children_I00034	0.341845	0.076614	NA
Tamm2002_children_I00035	0.317011	0.075888	NA
Tamm2002_children_I00036	0.313946	0.075802	NA
Tamm2002_children_I00037	-0.068358	0.071636	NA
Tamm2002_children_I00038	0.317520	0.075903	NA
Tamm2002_children_I00039	0.315995	0.075860	NA
Tamm2002_children_I00040	0.345385	0.076722	NA
Tamm2002_children_I00041	0.321701	0.076021	NA
Tamm2002_children_I00042	0.340921	0.076586	NA
Tamm2002_children_I00043	-0.055795	0.071567	NA
Tamm2002_children_I00044	-0.050212	0.071540	NA
Tamm2002_children_I00045	-0.066974	0.071628	NA
Tamm2002_children_I00046	0.329536	0.076248	NA
Tamm2002_children_I00047	-0.067931	0.071633	NA
Tamm2002_children_I00048	0.316776	0.075882	NA
Tamm2002_children_I00049	0.326910	0.076171	NA
vantEnt2009_children_I00000	0.420152	0.061338	NA
vantEnt2009_children_I00001	0.125208	0.056069	NA
vantEnt2009_children_I00002	0.137589	0.056176	NA
vantEnt2009_children_I00003	0.434148	0.061730	NA
vantEnt2009_children_I00004	0.120402	0.056030	NA
vantEnt2009_children_I00005	0.137973	0.056179	NA
vantEnt2009_children_I00006	0.122698	0.056049	NA
vantEnt2009_children_I00007	0.134063	0.056144	NA
vantEnt2009_children_I00008	0.426380	0.061511	NA
vantEnt2009_children_I00009	0.135665	0.056158	NA
vantEnt2009_children_I00010	0.409809	0.061057	NA
vantEnt2009_children_I00011	0.134699	0.056150	NA
vantEnt2009_children_I00012	0.124375	0.056062	NA
vantEnt2009_children_I00013	0.432415	0.061681	NA
vantEnt2009_children_I00014	0.134043	0.056144	NA
vantEnt2009_children_I00015	0.141322	0.056210	NA
vantEnt2009_children_I00016	0.125213	0.056069	NA
vantEnt2009_children_I00017	0.412556	0.061131	NA
vantEnt2009_children_I00018	0.125182	0.056069	NA
vantEnt2009_children_I00019	0.408149	0.061013	NA
vantEnt2009_children_I00020	0.133587	0.056140	NA
vantEnt2009_children_I00021	0.419849	0.061330	NA
vantEnt2009_children_I00022	0.415889	0.061222	NA
vantEnt2009_children_I00023	0.133609	0.056140	NA
vantEnt2009_children_I00024	0.125232	0.056069	NA
vantEnt2009_children_I00025	0.127629	0.056089	NA
vantEnt2009_children_I00026	0.144766	0.056242	NA
vantEnt2009_children_I00027	0.419540	0.061321	NA
vantEnt2009_children_I00028	0.428627	0.061574	NA
vantEnt2009_children_I00029	0.125644	0.056073	NA
vantEnt2009_children_I00030	0.426566	0.061516	NA
vantEnt2009_children_I00031	0.127506	0.056088	NA
vantEnt2009_children_I00032	0.121718	0.056041	NA
vantEnt2009_children_I00033	0.131213	0.056120	NA
vantEnt2009_children_I00034	0.132820	0.056133	NA
vantEnt2009_children_I00035	0.427399	0.061540	NA
vantEnt2009_children_I00036	0.130300	0.056112	NA
vantEnt2009_children_I00037	0.418524	0.061294	NA
vantEnt2009_children_I00038	0.129776	0.056107	NA
vantEnt2009_children_I00039	0.133303	0.056138	NA
vantEnt2009_children_I00040	0.128606	0.056097	NA
vantEnt2009_children_I00041	0.119484	0.056023	NA
vantEnt2009_children_I00042	0.134599	0.056149	NA
vantEnt2009_children_I00043	0.138520	0.056184	NA
vantEnt2009_children_I00044	0.429163	0.061589	NA
vantEnt2009_children_I00045	0.139360	0.056192	NA
vantEnt2009_children_I00046	0.128467	0.056096	NA
