map	estimate	variance	sdm_z
Hansen2018_children_I00002	0.190263	0.005955	NA
Hansen2018_children_I00003	0.177698	0.005941	NA
Hansen2018_children_I00004	0.189160	0.005954	NA
Hansen2018_children_I00005	0.177830	0.005941	NA
Hansen2018_children_I00006	0.183028	0.005947	NA
Hansen2018_children_I00007	0.185613	0.005950	NA
Hansen2018_children_I00008	0.033312	0.005851	NA
Hansen2018_children_I00009	0.173366	0.005937	NA
Hansen2018_children_I00010	0.042380	0.005853	NA
Hansen2018_children_I00011	0.182473	0.005946	NA
Hansen2018_children_I00012	0.036227	0.005852	NA
Hansen2018_children_I00013	0.181840	0.005946	NA
Hansen2018_children_I00014	0.034531	0.005851	NA
Hansen2018_children_I00015	0.042194	0.005853	NA
Hansen2018_children_I00016	0.175914	0.005939	NA
Hansen2018_children_I00017	0.194802	0.005960	NA
Hansen2018_children_I00018	0.043069	0.005853	NA
Hansen2018_children_I00019	0.188203	0.005953	NA
Hansen2018_children_I00020	0.174614	0.005938	NA
Hansen2018_children_I00021	0.048098	0.005855	NA
Hansen2018_children_I00022	0.035993	0.005852	NA
Hansen2018_children_I00023	0.042468	0.005853	NA
Hansen2018_children_I00024	0.041664	0.005853	NA
Hansen2018_children_I00025	0.175664	0.005939	NA
Hansen2018_children_I00026	0.029631	0.005851	NA
Hansen2018_children_I00027	0.182913	0.005947	NA
Hansen2018_children_I00028	0.174074	0.005938	NA
Hansen2018_children_I00029	0.037553	0.005852	NA
Hansen2018_children_I00030	0.187309	0.005952	NA
Hansen2018_children_I00031	0.025040	0.005850	NA
Hansen2018_children_I00032	0.175632	0.005939	NA
Hansen2018_children_I00033	0.183656	0.005948	NA
Hansen2018_children_I00034	0.025363	0.005850	NA
Hansen2018_children_I00035	0.182826	0.005947	NA
Hansen2018_children_I00036	0.188298	0.005953	NA
Hansen2018_children_I00037	0.178327	0.005942	NA
Hansen2018_children_I00038	0.190136	0.005955	NA
Hansen2018_children_I00039	0.189728	0.005954	NA
Hansen2018_children_I00040	0.186894	0.005951	NA
Hansen2018_children_I00041	0.036659	0.005852	NA
Hansen2018_children_I00042	0.032296	0.005851	NA
Hansen2018_children_I00043	0.025674	0.005850	NA
Hansen2018_children_I00044	0.183134	0.005947	NA
Hansen2018_children_I00045	0.177894	0.005941	NA
Hansen2018_children_I00046	0.182451	0.005946	NA
Hansen2018_children_I00047	0.041602	0.005853	NA
Hansen2018_children_I00048	0.186064	0.005950	NA
Hansen2018_children_I00049	0.183419	0.005947	NA
Mincic2010_children_I00000	0.239400	0.029460	NA
Mincic2010_children_I00001	0.228636	0.029382	NA
Mincic2010_children_I00002	-0.009501	0.028573	NA
Mincic2010_children_I00003	0.240840	0.029471	NA
Mincic2010_children_I00004	0.246069	0.029510	NA
Mincic2010_children_I00005	0.238358	0.029452	NA
Mincic2010_children_I00006	-0.007831	0.028572	NA
Mincic2010_children_I00007	0.232749	0.029411	NA
Mincic2010_children_I00008	0.234261	0.029422	NA
Mincic2010_children_I00009	0.234928	0.029427	NA
Mincic2010_children_I00010	0.243418	0.029490	NA
Mincic2010_children_I00011	0.250677	0.029546	NA
Mincic2010_children_I00012	-0.009394	0.028573	NA
Mincic2010_children_I00013	0.235799	0.029433	NA
Mincic2010_children_I00014	0.239486	0.029461	NA
Mincic2010_children_I00015	-0.009222	0.028573	NA
Mincic2010_children_I00016	0.238393	0.029452	NA
Mincic2010_children_I00017	0.236130	0.029436	NA
Mincic2010_children_I00018	0.246840	0.029516	NA
Mincic2010_children_I00019	0.232502	0.029409	NA
Mincic2010_children_I00020	-0.009045	0.028573	NA
Mincic2010_children_I00021	0.239060	0.029457	NA
Mincic2010_children_I00022	0.224554	0.029353	NA
Mincic2010_children_I00023	-0.011493	0.028573	NA
Mincic2010_children_I00024	0.239864	0.029463	NA
Mincic2010_children_I00025	0.228149	0.029378	NA
Mincic2010_children_I00026	0.000525	0.028571	NA
Mincic2010_children_I00027	0.235728	0.029433	NA
Mincic2010_children_I00028	0.233481	0.029416	NA
Mincic2010_children_I00029	0.001288	0.028571	NA
Mincic2010_children_I00030	-0.006332	0.028572	NA
Mincic2010_children_I00031	-0.003361	0.028572	NA
Mincic2010_children_I00032	-0.007383	0.028572	NA
Mincic2010_children_I00033	0.002004	0.028571	NA
Mincic2010_children_I00034	0.242749	0.029485	NA
Mincic2010_children_I00035	0.240822	0.029470	NA
Mincic2010_children_I00036	0.228783	0.029383	NA
Mincic2010_children_I00037	0.225875	0.029362	NA
Mincic2010_children_I00038	0.241851	0.029478	NA
Mincic2010_children_I00039	0.227808	0.029376	NA
Mincic2010_children_I00040	0.254054	0.029572	NA
Mincic2010_children_I00041	0.233457	0.029416	NA
Mincic2010_children_I00042	-0.001712	0.028571	NA
Mincic2010_children_I00043	-0.003876	0.028572	NA
Mincic2010_children_I00044	0.238355	0.029452	NA
Mincic2010_children_I00045	0.235576	0.029432	NA
Mincic2010_children_I00046	-0.012300	0.028574	NA
Mincic2010_children_I00047	0.241365	0.029475	NA
Mincic2010_children_I00048	0.222323	0.029338	NA
Mincic2010_children_I00049	-0.006099	0.028572	NA
Posner2011_children_I00000	0.554615	0.079206	NA
Posner2011_children_I00001	0.386179	0.072746	NA
Posner2011_children_I00002	0.295530	0.070227	NA
Posner2011_children_I00003	0.350669	0.071680	NA
Posner2011_children_I00004	-0.094686	0.067032	NA
