map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.160398	NA	NA
Hedges' <i>g</i>	0.092662	0.001363	2.516911
uncorrp	0.993907	NA	NA
uncorrp_neg	0.006093	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.009130	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.184332	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	14.186762	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	99.450813	NA	-0.040968
Ye2009_adults_I00037	0.220316	0.055522	NA
Ye2009_adults_I00038	0.160668	0.055052	NA
Ye2009_adults_I00039	0.038218	0.054439	NA
Ye2009_adults_I00040	0.201923	0.055539	NA
Ye2009_adults_I00041	0.260064	0.055483	NA
Ye2009_adults_I00042	0.268900	0.055772	NA
Ye2009_adults_I00043	0.184129	0.055248	NA
Ye2009_adults_I00044	0.136359	0.054926	NA
Ye2009_adults_I00045	0.093930	0.054725	NA
Ye2009_adults_I00046	0.309819	0.056101	NA
Ye2009_adults_I00047	0.154140	0.055067	NA
Ye2009_adults_I00048	0.215632	0.055582	NA
Ye2009_adults_I00049	0.196769	0.055496	NA
Ansari2006_adults_I00000	0.369808	0.078856	NA
Ansari2006_adults_I00001	0.178499	0.076056	NA
Ansari2006_adults_I00002	0.273475	0.076886	NA
Ansari2006_adults_I00003	0.164577	0.075456	NA
Ansari2006_adults_I00004	0.339495	0.079576	NA
Ansari2006_adults_I00005	-0.073675	0.073484	NA
Ansari2006_adults_I00006	0.070082	0.074636	NA
Ansari2006_adults_I00007	0.055900	0.074388	NA
Ansari2006_adults_I00008	0.369246	0.080029	NA
Ansari2006_adults_I00009	0.091107	0.075125	NA
Ansari2006_adults_I00010	0.160933	0.075969	NA
Ansari2006_adults_I00011	0.217153	0.076362	NA
Ansari2006_adults_I00012	0.172163	0.076025	NA
Ansari2006_adults_I00013	0.227481	0.076686	NA
Ansari2006_adults_I00014	0.286686	0.077743	NA
Ansari2006_adults_I00015	0.294567	0.077886	NA
Ansari2006_adults_I00016	0.142999	0.075427	NA
Ansari2006_adults_I00017	0.262212	0.076272	NA
Ansari2006_adults_I00018	0.347278	0.078350	NA
Ansari2006_adults_I00019	0.009137	0.074284	NA
Ansari2006_adults_I00020	0.326717	0.078724	NA
Ansari2006_adults_I00021	0.107676	0.075348	NA
Ansari2006_adults_I00022	0.275477	0.077689	NA
Ansari2006_adults_I00023	0.247952	0.076920	NA
Ansari2006_adults_I00024	0.164922	0.075704	NA
Ansari2006_adults_I00025	0.230511	0.076732	NA
Ansari2006_adults_I00026	0.010154	0.073275	NA
Ansari2006_adults_I00027	0.101302	0.075232	NA
Ansari2006_adults_I00028	0.006055	0.074329	NA
Ansari2006_adults_I00029	0.011427	0.073860	NA
Ansari2006_adults_I00030	0.337122	0.078474	NA
Ansari2006_adults_I00031	0.299789	0.077905	NA
Ansari2006_adults_I00032	0.201371	0.076790	NA
Ansari2006_adults_I00033	0.107289	0.074551	NA
Ansari2006_adults_I00034	0.124115	0.075191	NA
Ansari2006_adults_I00035	0.229335	0.077400	NA
Ansari2006_adults_I00036	-0.014689	0.074177	NA
Ansari2006_adults_I00037	0.000766	0.073446	NA
Ansari2006_adults_I00038	0.009293	0.073891	NA
Ansari2006_adults_I00039	0.253259	0.076843	NA
Ansari2006_adults_I00040	0.149665	0.075588	NA
Ansari2006_adults_I00041	0.221259	0.076447	NA
Ansari2006_adults_I00042	0.195732	0.075869	NA
Ansari2006_adults_I00043	0.225223	0.076789	NA
Ansari2006_adults_I00044	0.213145	0.076912	NA
Ansari2006_adults_I00045	0.216735	0.076169	NA
Ansari2006_adults_I00046	0.178217	0.075794	NA
Ansari2006_adults_I00047	0.120036	0.075217	NA
Ansari2006_adults_I00048	0.104983	0.074993	NA
Ansari2006_adults_I00049	0.278944	0.076822	NA
Hazeltine2000_adults_I00000	0.211420	0.138355	NA
Hazeltine2000_adults_I00001	-0.093546	0.133762	NA
Hazeltine2000_adults_I00002	0.276781	0.140838	NA
Hazeltine2000_adults_I00003	0.383562	0.146107	NA
Hazeltine2000_adults_I00004	0.390393	0.146316	NA
Hazeltine2000_adults_I00005	0.047933	0.136609	NA
Hazeltine2000_adults_I00006	0.384149	0.146106	NA
Hazeltine2000_adults_I00007	0.226731	0.140469	NA
Hazeltine2000_adults_I00008	0.066353	0.137456	NA
Hazeltine2000_adults_I00009	0.314056	0.143344	NA
Hazeltine2000_adults_I00010	0.255267	0.141991	NA
Hazeltine2000_adults_I00011	0.421873	0.145686	NA
Hazeltine2000_adults_I00012	0.258021	0.142197	NA
Hazeltine2000_adults_I00013	0.069245	0.137852	NA
Hazeltine2000_adults_I00014	0.004845	0.136318	NA
Hazeltine2000_adults_I00015	0.270997	0.140563	NA
Hazeltine2000_adults_I00016	0.112046	0.137432	NA
Hazeltine2000_adults_I00017	0.049702	0.137689	NA
Hazeltine2000_adults_I00018	0.148027	0.138419	NA
Hazeltine2000_adults_I00019	0.188103	0.138647	NA
Hazeltine2000_adults_I00020	-0.115413	0.129828	NA
Hazeltine2000_adults_I00021	0.179045	0.140447	NA
Hazeltine2000_adults_I00022	0.201559	0.140497	NA
Hazeltine2000_adults_I00023	0.201559	0.140065	NA
Hazeltine2000_adults_I00024	0.271422	0.142374	NA
Hazeltine2000_adults_I00025	0.160182	0.138682	NA
Hazeltine2000_adults_I00026	0.342328	0.144534	NA
Hazeltine2000_adults_I00027	0.177222	0.138850	NA
Hazeltine2000_adults_I00028	0.296619	0.142874	NA
Hazeltine2000_adults_I00029	0.343339	0.143252	NA
Hazeltine2000_adults_I00030	0.043640	0.136135	NA
Hazeltine2000_adults_I00031	0.309911	0.141149	NA
Hazeltine2000_adults_I00032	0.111603	0.136661	NA
Hazeltine2000_adults_I00033	0.135621	0.138206	NA
Hazeltine2000_adults_I00034	0.132621	0.138276	NA
Hazeltine2000_adults_I00035	0.296857	0.143695	NA
Hazeltine2000_adults_I00036	-0.013330	0.136093	NA
Hazeltine2000_adults_I00037	0.214574	0.140506	NA
Hazeltine2000_adults_I00038	0.328941	0.141623	NA
Hazeltine2000_adults_I00039	0.353450	0.142156	NA
Hazeltine2000_adults_I00040	0.227132	0.141141	NA
Hazeltine2000_adults_I00041	-0.012819	0.135023	NA
Hazeltine2000_adults_I00042	0.193523	0.140031	NA
Hazeltine2000_adults_I00043	0.073966	0.136832	NA
Hazeltine2000_adults_I00044	0.225087	0.138167	NA
Hazeltine2000_adults_I00045	0.115262	0.137510	NA
Hazeltine2000_adults_I00046	0.158072	0.138980	NA
Hazeltine2000_adults_I00047	0.315775	0.139645	NA
Hazeltine2000_adults_I00048	-0.045421	0.135156	NA
Hazeltine2000_adults_I00049	0.157433	0.139333	NA
Aarts2008_adults_I00000	0.092668	0.087833	NA
Aarts2008_adults_I00001	0.244359	0.090346	NA
Aarts2008_adults_I00002	0.203466	0.089654	NA
Aarts2008_adults_I00003	0.080813	0.088002	NA
Aarts2008_adults_I00004	0.333749	0.092384	NA
Aarts2008_adults_I00005	0.019918	0.087535	NA
Aarts2008_adults_I00006	0.127770	0.088911	NA
Aarts2008_adults_I00007	0.080530	0.088592	NA
Aarts2008_adults_I00008	0.125938	0.088313	NA
Aarts2008_adults_I00009	0.237355	0.090482	NA
Aarts2008_adults_I00010	-0.106392	0.086690	NA
Aarts2008_adults_I00011	-0.008359	0.087309	NA
Aarts2008_adults_I00012	0.190049	0.089288	NA
Aarts2008_adults_I00013	0.204731	0.089758	NA
Aarts2008_adults_I00014	-0.010954	0.087427	NA
Aarts2008_adults_I00015	0.267034	0.091060	NA
Aarts2008_adults_I00016	0.218600	0.090356	NA
Aarts2008_adults_I00017	0.056279	0.087824	NA
Aarts2008_adults_I00018	0.069755	0.088031	NA
Aarts2008_adults_I00019	0.210816	0.090326	NA
Aarts2008_adults_I00020	0.095127	0.088269	NA
Aarts2008_adults_I00021	0.164919	0.089439	NA
Aarts2008_adults_I00022	0.125648	0.088661	NA
Aarts2008_adults_I00023	0.383941	0.094234	NA
Aarts2008_adults_I00024	0.147024	0.088890	NA
Aarts2008_adults_I00025	0.006759	0.087242	NA
Aarts2008_adults_I00026	0.084642	0.087825	NA
Aarts2008_adults_I00027	0.404104	0.094208	NA
