map	estimate	variance	sdm_z
Fan2014_children_I00047	0.229025	0.044773	NA
Fan2014_children_I00048	-0.090302	0.043680	NA
Fan2014_children_I00049	-0.100345	0.043727	NA
Hansen2018_children_I00000	0.043094	0.005853	NA
Hansen2018_children_I00001	0.206417	0.005974	NA
Hansen2018_children_I00002	0.035350	0.005852	NA
Hansen2018_children_I00003	0.049723	0.005855	NA
Hansen2018_children_I00004	0.044124	0.005854	NA
Hansen2018_children_I00005	0.208860	0.005977	NA
Hansen2018_children_I00006	0.217203	0.005987	NA
Hansen2018_children_I00007	0.209044	0.005977	NA
Hansen2018_children_I00008	0.222363	0.005994	NA
Hansen2018_children_I00009	0.220581	0.005992	NA
Hansen2018_children_I00010	0.200905	0.005967	NA
Hansen2018_children_I00011	0.220285	0.005991	NA
Hansen2018_children_I00012	0.205009	0.005972	NA
Hansen2018_children_I00013	0.205657	0.005973	NA
Hansen2018_children_I00014	0.223577	0.005996	NA
Hansen2018_children_I00015	0.219494	0.005990	NA
Hansen2018_children_I00016	0.042939	0.005853	NA
Hansen2018_children_I00017	0.043750	0.005854	NA
Hansen2018_children_I00018	0.204262	0.005971	NA
Hansen2018_children_I00019	0.041134	0.005853	NA
Hansen2018_children_I00020	0.037441	0.005852	NA
Hansen2018_children_I00021	0.216259	0.005986	NA
Hansen2018_children_I00022	0.223392	0.005995	NA
Hansen2018_children_I00023	0.208451	0.005976	NA
Hansen2018_children_I00024	0.039138	0.005852	NA
Hansen2018_children_I00025	0.034462	0.005851	NA
Hansen2018_children_I00026	0.039849	0.005853	NA
Hansen2018_children_I00027	0.209170	0.005977	NA
Hansen2018_children_I00028	0.210913	0.005979	NA
Hansen2018_children_I00029	0.200285	0.005967	NA
Hansen2018_children_I00030	0.212912	0.005982	NA
Hansen2018_children_I00031	0.210148	0.005978	NA
Hansen2018_children_I00032	0.219976	0.005991	NA
Hansen2018_children_I00033	0.215968	0.005986	NA
Hansen2018_children_I00034	0.219232	0.005990	NA
Hansen2018_children_I00035	0.044568	0.005854	NA
Hansen2018_children_I00036	0.205504	0.005973	NA
Hansen2018_children_I00037	0.214266	0.005984	NA
Hansen2018_children_I00038	0.219748	0.005991	NA
Hansen2018_children_I00039	0.220058	0.005991	NA
Hansen2018_children_I00040	0.214308	0.005984	NA
Hansen2018_children_I00041	0.221195	0.005993	NA
Hansen2018_children_I00042	0.217746	0.005988	NA
Hansen2018_children_I00043	0.039186	0.005852	NA
Hansen2018_children_I00044	0.225175	0.005998	NA
Hansen2018_children_I00045	0.217820	0.005988	NA
Hansen2018_children_I00046	0.039627	0.005853	NA
Hansen2018_children_I00047	0.214000	0.005983	NA
Hansen2018_children_I00048	0.044008	0.005854	NA
Hansen2018_children_I00049	0.199475	0.005966	NA
Mincic2010_children_I00000	-0.058824	0.028625	NA
Mincic2010_children_I00001	0.181941	0.029085	NA
Mincic2010_children_I00002	-0.064330	0.028636	NA
Mincic2010_children_I00003	0.204452	0.029219	NA
Mincic2010_children_I00004	0.197953	0.029179	NA
Mincic2010_children_I00005	-0.061608	0.028630	NA
Mincic2010_children_I00006	0.190771	0.029136	NA
Mincic2010_children_I00007	0.211765	0.029267	NA
Mincic2010_children_I00008	-0.059804	0.028627	NA
Mincic2010_children_I00009	0.189327	0.029127	NA
Mincic2010_children_I00010	-0.046534	0.028605	NA
Mincic2010_children_I00011	-0.053463	0.028616	NA
Mincic2010_children_I00012	0.189484	0.029128	NA
Mincic2010_children_I00013	0.200794	0.029196	NA
Mincic2010_children_I00014	0.196882	0.029172	NA
Mincic2010_children_I00015	0.189854	0.029130	NA
Mincic2010_children_I00016	-0.046340	0.028605	NA
Mincic2010_children_I00017	0.187511	0.029116	NA
Mincic2010_children_I00018	0.200027	0.029192	NA
Mincic2010_children_I00019	0.181915	0.029084	NA
Mincic2010_children_I00020	0.199899	0.029191	NA
Mincic2010_children_I00021	-0.069830	0.028647	NA
Mincic2010_children_I00022	0.200044	0.029192	NA
Mincic2010_children_I00023	-0.063552	0.028634	NA
Mincic2010_children_I00024	0.192640	0.029147	NA
Mincic2010_children_I00025	0.191865	0.029142	NA
Mincic2010_children_I00026	-0.063527	0.028634	NA
Mincic2010_children_I00027	0.174784	0.029045	NA
Mincic2010_children_I00028	-0.060889	0.028629	NA
Mincic2010_children_I00029	-0.076341	0.028662	NA
Mincic2010_children_I00030	0.174656	0.029044	NA
Mincic2010_children_I00031	-0.066276	0.028640	NA
Mincic2010_children_I00032	0.205989	0.029229	NA
Mincic2010_children_I00033	0.193739	0.029153	NA
Mincic2010_children_I00034	0.190896	0.029136	NA
Mincic2010_children_I00035	-0.066133	0.028639	NA
Mincic2010_children_I00036	0.184248	0.029098	NA
Mincic2010_children_I00037	0.200376	0.029194	NA
Mincic2010_children_I00038	0.198532	0.029182	NA
Mincic2010_children_I00039	-0.065725	0.028638	NA
Mincic2010_children_I00040	-0.067909	0.028643	NA
Mincic2010_children_I00041	0.197427	0.029176	NA
Mincic2010_children_I00042	0.190445	0.029134	NA
Mincic2010_children_I00043	-0.061031	0.028629	NA
Mincic2010_children_I00044	-0.054603	0.028618	NA
Mincic2010_children_I00045	0.198399	0.029182	NA
Mincic2010_children_I00046	0.196384	0.029169	NA
Mincic2010_children_I00047	0.183334	0.029092	NA
Mincic2010_children_I00048	0.193533	0.029152	NA
Mincic2010_children_I00049	-0.069727	0.028647	NA
Posner2011_children_I00000	0.437933	0.074485	NA
Posner2011_children_I00001	-0.047039	0.066757	NA
Posner2011_children_I00002	-0.076518	0.066905	NA
Posner2011_children_I00003	0.447973	0.074847	NA
Posner2011_children_I00004	0.436697	0.074441	NA
Posner2011_children_I00005	0.571883	0.079999	NA
Posner2011_children_I00006	-0.054954	0.066790	NA
Posner2011_children_I00007	-0.025204	0.066693	NA
Posner2011_children_I00008	0.461020	0.075331	NA
Posner2011_children_I00009	0.364095	0.072071	NA
Posner2011_children_I00010	-0.157475	0.067678	NA
Posner2011_children_I00011	0.455236	0.075115	NA
Posner2011_children_I00012	0.415482	0.073704	NA
Posner2011_children_I00013	0.372202	0.072314	NA
Posner2011_children_I00014	0.470530	0.075692	NA
Posner2011_children_I00015	0.525124	0.077908	NA
Posner2011_children_I00016	0.501815	0.076932	NA
Posner2011_children_I00017	0.394920	0.073024	NA
Posner2011_children_I00018	0.365058	0.072099	NA
Posner2011_children_I00019	0.414091	0.073657	NA
Posner2011_children_I00020	0.443748	0.074694	NA
Posner2011_children_I00021	0.470916	0.075707	NA
Posner2011_children_I00022	-0.028472	0.066700	NA
Posner2011_children_I00023	-0.155864	0.067657	NA
Posner2011_children_I00024	0.372986	0.072338	NA
Posner2011_children_I00025	0.334153	0.071218	NA
Posner2011_children_I00026	0.548056	0.078911	NA
Posner2011_children_I00027	-0.131730	0.067374	NA
Posner2011_children_I00028	0.447123	0.074816	NA
Posner2011_children_I00029	0.430945	0.074237	NA
Posner2011_children_I00030	0.495039	0.076657	NA
Posner2011_children_I00031	-0.097704	0.067056	NA
Posner2011_children_I00032	0.409163	0.073491	NA
Posner2011_children_I00033	-0.176353	0.067934	NA
Posner2011_children_I00034	-0.165999	0.067790	NA
Posner2011_children_I00035	-0.072382	0.066880	NA
Posner2011_children_I00036	-0.164299	0.067767	NA
Posner2011_children_I00037	-0.115102	0.067207	NA
Posner2011_children_I00038	0.281093	0.069888	NA
Posner2011_children_I00039	-0.069189	0.066862	NA
Posner2011_children_I00040	0.380985	0.072584	NA
Posner2011_children_I00041	0.004260	0.066667	NA
Posner2011_children_I00042	0.546561	0.078844	NA
Posner2011_children_I00043	0.391587	0.072918	NA
Posner2011_children_I00044	-0.036876	0.066722	NA
Posner2011_children_I00045	0.393278	0.072972	NA
Posner2011_children_I00046	-0.144008	0.067512	NA
Posner2011_children_I00047	-0.002506	0.066667	NA
Posner2011_children_I00048	-0.108900	0.067150	NA
Posner2011_children_I00049	0.493158	0.076581	NA
Rubia2006_children_I00000	0.324668	0.037801	NA
Rubia2006_children_I00001	-0.073157	0.035820	NA
Rubia2006_children_I00002	0.343223	0.038046	NA
Rubia2006_children_I00003	0.351578	0.038161	NA
Rubia2006_children_I00004	-0.054691	0.035774	NA
Rubia2006_children_I00005	0.352761	0.038178	NA
Rubia2006_children_I00006	-0.087012	0.035864	NA
Rubia2006_children_I00007	-0.077306	0.035833	NA
Rubia2006_children_I00008	0.307744	0.037589	NA
Rubia2006_children_I00009	-0.032483	0.035735	NA
Rubia2006_children_I00010	0.320198	0.037744	NA
Rubia2006_children_I00011	0.342390	0.038035	NA
Rubia2006_children_I00012	-0.080068	0.035841	NA
Rubia2006_children_I00013	0.287886	0.037355	NA
Rubia2006_children_I00014	0.339964	0.038002	NA
Rubia2006_children_I00015	0.306269	0.037571	NA
Rubia2006_children_I00016	0.306716	0.037577	NA
Rubia2006_children_I00017	-0.044202	0.035753	NA
Rubia2006_children_I00018	0.300826	0.037506	NA
Rubia2006_children_I00019	-0.067287	0.035804	NA
Rubia2006_children_I00020	-0.071998	0.035817	NA
Rubia2006_children_I00021	0.304520	0.037550	NA
Rubia2006_children_I00022	0.274206	0.037203	NA
Rubia2006_children_I00023	0.313888	0.037665	NA
Rubia2006_children_I00024	0.326133	0.037820	NA
Rubia2006_children_I00025	-0.030496	0.035733	NA
Rubia2006_children_I00026	0.306582	0.037575	NA
Rubia2006_children_I00027	0.315142	0.037680	NA
Rubia2006_children_I00028	-0.078162	0.035835	NA
Rubia2006_children_I00029	-0.068822	0.035808	NA
Rubia2006_children_I00030	0.327494	0.037837	NA
Rubia2006_children_I00031	0.320751	0.037751	NA
Rubia2006_children_I00032	-0.062860	0.035793	NA
Rubia2006_children_I00033	-0.054437	0.035773	NA
Rubia2006_children_I00034	0.319552	0.037736	NA
Rubia2006_children_I00035	-0.085566	0.035859	NA
Rubia2006_children_I00036	0.286136	0.037335	NA
Rubia2006_children_I00037	-0.068297	0.035807	NA
Rubia2006_children_I00038	0.314982	0.037678	NA
Rubia2006_children_I00039	0.333652	0.037918	NA
Rubia2006_children_I00040	0.303028	0.037532	NA
Rubia2006_children_I00041	0.325111	0.037807	NA
Rubia2006_children_I00042	0.324331	0.037797	NA
Rubia2006_children_I00043	-0.055780	0.035776	NA
Rubia2006_children_I00044	0.271718	0.037176	NA
Rubia2006_children_I00045	0.321234	0.037757	NA
Rubia2006_children_I00046	0.321418	0.037759	NA
Rubia2006_children_I00047	0.278279	0.037247	NA
Rubia2006_children_I00048	-0.075800	0.035828	NA
Rubia2006_children_I00049	-0.043846	0.035752	NA
Sheridan2014_children_I00000	-0.068040	0.030380	NA
Sheridan2014_children_I00001	-0.064787	0.030372	NA
Sheridan2014_children_I00002	-0.073453	0.030392	NA
Sheridan2014_children_I00003	0.187136	0.030882	NA
Sheridan2014_children_I00004	0.202209	0.030979	NA
Sheridan2014_children_I00005	-0.072845	0.030391	NA
Sheridan2014_children_I00006	0.194884	0.030931	NA
Sheridan2014_children_I00007	-0.074874	0.030396	NA
Sheridan2014_children_I00008	0.180878	0.030844	NA
Sheridan2014_children_I00009	-0.066612	0.030376	NA
Sheridan2014_children_I00010	-0.072529	0.030390	NA
Sheridan2014_children_I00011	-0.055849	0.030355	NA
Sheridan2014_children_I00012	0.201967	0.030977	NA
Sheridan2014_children_I00013	-0.067266	0.030378	NA
Sheridan2014_children_I00014	0.195043	0.030932	NA
Sheridan2014_children_I00015	0.182188	0.030852	NA
Sheridan2014_children_I00016	-0.072522	0.030390	NA
Sheridan2014_children_I00017	0.206104	0.031005	NA
Sheridan2014_children_I00018	0.197301	0.030946	NA
Sheridan2014_children_I00019	0.199422	0.030960	NA
Sheridan2014_children_I00020	-0.070626	0.030385	NA
Sheridan2014_children_I00021	0.215795	0.031073	NA
Sheridan2014_children_I00022	0.189647	0.030897	NA
Sheridan2014_children_I00023	-0.062554	0.030368	NA
Sheridan2014_children_I00024	0.186642	0.030879	NA
Sheridan2014_children_I00025	0.181216	0.030846	NA
Sheridan2014_children_I00026	0.196807	0.030943	NA
Sheridan2014_children_I00027	0.203781	0.030989	NA
Sheridan2014_children_I00028	-0.069742	0.030383	NA
Sheridan2014_children_I00029	0.198049	0.030951	NA
Sheridan2014_children_I00030	-0.071075	0.030387	NA
Sheridan2014_children_I00031	0.178046	0.030827	NA
Sheridan2014_children_I00032	0.186421	0.030877	NA
Sheridan2014_children_I00033	0.191589	0.030910	NA
Sheridan2014_children_I00034	0.201446	0.030974	NA
Sheridan2014_children_I00035	-0.080110	0.030409	NA
Sheridan2014_children_I00036	0.195370	0.030934	NA
Sheridan2014_children_I00037	-0.088337	0.030432	NA
Sheridan2014_children_I00038	-0.078286	0.030404	NA
Sheridan2014_children_I00039	0.189073	0.030894	NA
Sheridan2014_children_I00040	0.179198	0.030834	NA
Sheridan2014_children_I00041	0.184928	0.030868	NA
Sheridan2014_children_I00042	-0.070669	0.030386	NA
Sheridan2014_children_I00043	0.183832	0.030861	NA
Sheridan2014_children_I00044	-0.070178	0.030384	NA
Sheridan2014_children_I00045	0.196761	0.030943	NA
Sheridan2014_children_I00046	-0.078597	0.030405	NA
Sheridan2014_children_I00047	-0.076310	0.030399	NA
Sheridan2014_children_I00048	-0.076259	0.030399	NA
Sheridan2014_children_I00049	-0.076617	0.030400	NA
Tamm2002_children_I00000	0.279802	0.074903	NA
Tamm2002_children_I00001	0.250883	0.074222	NA
Tamm2002_children_I00002	-0.129435	0.072172	NA
Tamm2002_children_I00003	0.263284	0.074505	NA
Tamm2002_children_I00004	0.265605	0.074559	NA
Tamm2002_children_I00005	-0.107472	0.071941	NA
Tamm2002_children_I00006	0.272756	0.074730	NA
Tamm2002_children_I00007	0.253220	0.074274	NA
Tamm2002_children_I00008	-0.125612	0.072129	NA
Tamm2002_children_I00009	0.240372	0.073993	NA
Tamm2002_children_I00010	0.267715	0.074609	NA
Tamm2002_children_I00011	0.271802	0.074707	NA
Tamm2002_children_I00012	0.286148	0.075062	NA
Tamm2002_children_I00013	0.272949	0.074735	NA
Tamm2002_children_I00014	0.298290	0.075377	NA
Tamm2002_children_I00015	0.286036	0.075059	NA
Tamm2002_children_I00016	0.287317	0.075092	NA
Tamm2002_children_I00017	0.283074	0.074985	NA
Tamm2002_children_I00018	0.257157	0.074363	NA
Tamm2002_children_I00019	-0.117823	0.072045	NA
Tamm2002_children_I00020	-0.133833	0.072223	NA
Tamm2002_children_I00021	0.272417	0.074722	NA
Tamm2002_children_I00022	0.276616	0.074824	NA
Tamm2002_children_I00023	0.278101	0.074861	NA
Tamm2002_children_I00024	0.241308	0.074013	NA
Tamm2002_children_I00025	0.255310	0.074321	NA
Tamm2002_children_I00026	0.265884	0.074566	NA
Tamm2002_children_I00027	0.273344	0.074744	NA
Tamm2002_children_I00028	0.284869	0.075030	NA
Tamm2002_children_I00029	-0.139118	0.072287	NA
